FORECAST_DATE,ZERO_1Y,ZERO_2Y,ZERO_3Y,ZERO_4Y,ZERO_5Y,ZERO_6Y,ZERO_7Y,ZERO_8Y,ZERO_9Y,ZERO_10Y,ZERO_12Y,ZERO_15Y,ZERO_20Y,ZERO_25Y,ZERO_30Y
2022-07-15,0.006364,0.010045,0.012395,0.013945,0.014906,0.015494,0.015858,0.01622,0.016635,0.01708,0.017997,0.018887,0.019016,0.017945,0.018765
2022-07-18,0.006092,0.009705,0.012041,0.013592,0.014556,0.015135,0.015504,0.015888,0.016327,0.016821,0.017825,0.018787,0.019092,0.018043,0.018602
2022-07-19,0.006296,0.009938,0.012306,0.013919,0.01497,0.015613,0.015997,0.016402,0.016871,0.017443,0.018588,0.01944,0.019868,0.018855,0.019048
2022-07-20,0.006232,0.010065,0.012545,0.014228,0.0153,0.015958,0.016354,0.016778,0.017279,0.017866,0.019058,0.019953,0.020239,0.019245,0.019528
2022-07-21,0.006048,0.009308,0.011491,0.012982,0.013939,0.014527,0.014912,0.015351,0.01587,0.016446,0.017633,0.018384,0.01874,0.017875,0.017901
2022-07-22,0.004654,0.007228,0.009064,0.010425,0.011388,0.0121,0.012648,0.013224,0.013844,0.014494,0.015826,0.016871,0.017471,0.016643,0.016412
2022-07-25,0.004718,0.007211,0.009047,0.010404,0.011373,0.01207,0.012628,0.013224,0.013879,0.014541,0.015914,0.016969,0.017588,0.016712,0.016808
2022-07-26,0.005023,0.00797,0.010063,0.011583,0.012632,0.013338,0.013832,0.014352,0.01494,0.015551,0.016818,0.017659,0.018175,0.017227,0.017076
2022-07-27,0.005211,0.008517,0.01081,0.012454,0.01358,0.014337,0.01485,0.015375,0.015954,0.016554,0.017795,0.018698,0.019212,0.018191,0.017893
2022-07-28,0.004324,0.007325,0.009418,0.010925,0.01199,0.012759,0.01334,0.013967,0.014652,0.015331,0.016758,0.017406,0.018086,0.017124,0.01697
2022-07-29,0.003159,0.005935,0.007902,0.00935,0.01042,0.011236,0.011883,0.012559,0.013283,0.014003,0.015502,0.016336,0.017038,0.016283,0.016044
