REFERENCE_DATE,IV
1999-01-04,58.12
1999-01-05,58.15
1999-01-06,57.99
1999-01-07,58.0
1999-01-08,60.51
1999-01-11,61.39
1999-01-12,60.73
1999-01-13,60.37
1999-01-14,59.98
1999-01-15,61.25
1999-01-18,60.7
1999-01-19,60.44
1999-01-20,60.79
1999-01-21,60.47
1999-01-22,60.1
1999-01-25,58.59
1999-01-26,58.4
1999-01-27,58.46
1999-01-28,58.41
1999-01-29,58.57
1999-02-01,58.46
1999-02-02,58.43
1999-02-03,58.78
1999-02-04,59.59
1999-02-05,59.37
1999-02-08,60.16
1999-02-09,57.94
1999-02-10,57.83
1999-02-11,57.77
1999-02-12,58.49
1999-02-15,59.45
1999-02-16,59.45
1999-02-17,59.33
1999-02-18,59.65
1999-02-19,57.89
1999-02-22,57.64
1999-02-23,57.05
1999-02-24,57.89
1999-02-25,59.43
1999-02-26,60.38
1999-03-01,61.74
1999-03-02,61.57
1999-03-03,62.23
1999-03-04,62.49
1999-03-05,62.91
1999-03-08,66.43
1999-03-09,66.83
1999-03-10,66.24
1999-03-11,64.98
1999-03-12,65.5
1999-03-15,65.36
1999-03-16,65.04
1999-03-17,61.08
1999-03-18,60.74
1999-03-19,61.06
1999-03-22,61.26
1999-03-23,61.67
1999-03-24,61.63
1999-03-25,61.41
1999-03-26,62.18
1999-03-29,60.24
1999-03-30,59.77
1999-03-31,59.44
1999-04-01,59.35
1999-04-02,59.36
1999-04-05,59.39
1999-04-06,58.39
1999-04-07,60.08
1999-04-08,60.22
1999-04-09,59.15
1999-04-12,58.82
1999-04-13,59.38
1999-04-14,59.33
1999-04-15,59.92
1999-04-16,51.6
1999-04-19,51.25
1999-04-20,50.84
1999-04-21,50.69
1999-04-22,50.79
1999-04-23,50.67
1999-04-26,51.13
1999-04-27,50.71
1999-04-28,52.27
1999-04-29,51.78
1999-04-30,52.19
1999-05-03,52.2
1999-05-04,52.71
1999-05-05,52.66
1999-05-06,53.21
1999-05-07,54.09
1999-05-10,54.29
1999-05-11,54.31
1999-05-12,54.42
1999-05-13,53.82
1999-05-14,55.67
1999-05-17,55.4
1999-05-18,55.09
1999-05-19,56.16
1999-05-20,55.93
1999-05-21,55.63
1999-05-24,52.49
1999-05-25,52.57
1999-05-26,52.71
1999-05-27,53.36
1999-05-28,53.81
1999-05-31,53.81
1999-06-01,55.72
1999-06-02,62.01
1999-06-03,61.15
1999-06-04,62.09
1999-06-07,61.39
1999-06-08,61.47
1999-06-09,61.65
1999-06-10,63.61
1999-06-11,63.51
1999-06-14,68.06
1999-06-15,67.75
1999-06-16,67.38
1999-06-17,66.77
1999-06-18,66.84
1999-06-21,68.44
1999-06-22,67.29
1999-06-23,68.57
1999-06-24,70.26
1999-06-25,79.94
